Created Date,Tickets_Sold,Total_Attended,Cumulative_Attendance,Total_Non_Attendance,Cumulative_Tickets_Sold
2020-09-02,1,Yes,1,0,1
2020-09-10,53,NoYesYesYesNoNoYesYesYesNoYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesNoYesYesYesYesYes,54,5,54
2020-09-11,12,YesYesYesYesYesYes,66,0,66
2020-09-12,1,Yes,67,0,67
2020-09-14,6,YesYesYesYesNoNo,73,2,73
2020-09-15,2,Yes,75,0,75
2020-09-16,6,YesYesYesYes,81,0,81
2020-09-17,34,NoYesYesYesYesYesYesYesNoYesYesYesYesYesYesYesYesNoYesYesYesYes,115,3,115
2020-09-18,3,YesYesYes,118,0,118
2020-09-20,1,0,119,0,119
2020-09-21,8,YesYesYesNo,127,1,127
2020-09-22,4,YesNoYes,131,1,131
2020-09-24,1,Yes,132,0,132
2020-09-25,2,YesYes,134,0,134
2020-09-28,1,0,135,0,135
2020-10-07,1,Yes,136,0,136
2020-10-12,1,Yes,137,0,137
2020-10-14,1,Yes,138,0,138
2020-10-24,1,0,139,0,139
2020-11-03,1,Yes,140,0,140
2020-11-05,1,Yes,141,0,141
2020-11-13,1,Yes,142,0,142
2020-11-23,1,Yes,143,0,143
2020-11-25,2,Yes,145,0,145
2021-02-18,1,Yes,146,0,146
2021-02-22,1,Yes,147,0,147
2021-02-24,1,Yes,148,0,148
2021-03-25,1,Yes,149,0,149
2021-04-12,1,0,150,0,150
2021-04-27,1,Yes,151,0,151
2021-05-06,2,YesYes,153,0,153
2021-05-12,2,YesYes,155,0,155
2021-05-18,5,YesYesYesYesNo,160,1,160
2021-06-14,1,Yes,161,0,161
2021-07-12,1,Yes,162,0,162
2021-07-14,2,YesYes,164,0,164
2021-07-16,2,YesNo,166,1,166
2021-07-21,1,Yes,167,0,167
2021-08-03,1,0,168,0,168
2021-08-06,1,Yes,169,0,169
2021-08-11,24,YesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesYesNoYes,193,1,193
2021-08-12,5,YesNoYesYes,198,1,198
2021-08-16,2,YesYes,200,0,200
2021-08-17,1,0,201,0,201
2021-08-18,1,Yes,202,0,202
2021-08-19,2,Yes,204,0,204
2021-08-25,2,Yes,206,0,206
2021-08-31,2,No,208,1,208
2021-09-01,1,Yes,209,0,209
2021-09-02,4,YesYesYesYes,213,0,213
2021-09-03,1,Yes,214,0,214
2021-09-06,1,Yes,215,0,215
2021-09-07,1,0,216,0,216
2021-09-24,8,YesYesYesNoYesYesYesYes,224,1,224
2021-09-27,10,YesNoYesYesYesYes,234,1,234
2021-09-28,9,YesYesYesYesYesYesYes,243,0,243
2021-09-29,3,YesYesNo,246,1,246
2021-09-30,7,YesYesYesYesYesYes,253,0,253
2021-10-01,2,Yes,255,0,255
2021-10-04,4,YesYesYes,259,0,259
2021-10-05,2,YesYes,261,0,261
2021-10-06,1,0,262,0,262
2021-10-07,1,Yes,263,0,263
2021-10-08,6,NoYesYesYesYesYes,269,1,269
2021-10-11,5,YesYesYesYesYes,274,0,274
2021-10-12,1,Yes,275,0,275
2021-10-14,2,YesYes,277,0,277
2021-10-15,2,YesNo,279,1,279
2021-10-18,4,YesYesYes,283,0,283
2021-10-19,9,YesYesYesYesNoYesYes,292,1,292
2021-10-20,6,YesYesYesYesYesYes,298,0,298
2021-10-21,3,YesYesYes,301,0,301
2021-10-22,7,YesNoNoNoYesYes,308,3,308
2021-10-23,1,0,309,0,309
2021-10-25,4,YesYesYes,313,0,313
2021-10-26,6,NoYesYesYes,319,1,319
2021-10-27,9,YesYesYesYesYesYesYesNo,328,1,328
2021-10-28,3,YesYesYes,331,0,331
2021-10-29,10,YesYesYesYesYesYesYesYesYes,341,0,341
2021-11-01,14,YesYesYesYesYesYesYesYesYesYesYes,355,0,355
2021-11-02,9,YesYesYesYesYesYesYesYesYes,364,0,364
2021-11-03,8,YesYesYesYesYesYesYes,372,0,372
2021-11-04,6,YesYesYesYesYes,378,0,378
2021-11-05,9,YesYesYesYesYesYesYesYesYes,387,0,387
2021-11-08,7,YesYesYesYesYesYesYes,394,0,394
2021-11-09,1,0,395,0,395
2021-11-10,3,YesYesYes,398,0,398
2021-11-11,1,0,399,0,399
2021-11-25,2,0,401,0,401
