Created Date,Tickets_Sold,Total_Attended,Cumulative_Attendance,Total_Non_Attendance,Cumulative_Tickets_Sold
16-03-2022,70,YesNoYesYesYesNoYesNoNoNoYesNoNoYesNoNoYesNoYesYesYesYesYesYes,70,10,70
17-03-2022,30,YesYesYesYesNoYesYesYesYesNoNoNoYesYes,100,4,100
18-03-2022,37,YesNoYesYesYesYesNoNoYesNoYesNoNoNoYesYesYesYesNoYesYes,137,8,137
19-03-2022,3,No,140,1,140
20-03-2022,1,Yes,141,0,141
21-03-2022,15,No,156,1,156
22-03-2022,4,Yes,160,0,160
23-03-2022,2,Yes,162,0,162
24-03-2022,157,NoYesYesYesNoYesYesNoNoYesYesYesYesYesYesYesYesYesNoYesNoYesNoNoYesNoYesNoYesNoYesYesYesYesYesYesYesYesYesYesNoYesYesNoYesYesYesNoYesYesYesYesYesNoNo,319,16,319
25-03-2022,14,NoNoNoYesNo,333,4,333
26-03-2022,4,No,337,1,337
27-03-2022,1,0,338,0,338
28-03-2022,23,YesNoYesYesYesYesYesYesYes,361,1,361
29-03-2022,10,YesYesNoYes,371,1,371
30-03-2022,8,YesYesNoYesYesYesYes,379,1,379
31-03-2022,1,0,380,0,380
01-04-2022,2,YesYes,382,0,382
04-04-2022,8,NoYes,390,1,390
05-04-2022,3,YesYes,393,0,393
06-04-2022,5,0,398,0,398
08-04-2022,5,YesYesYes,403,0,403
12-04-2022,3,Yes,406,0,406
13-04-2022,3,No,409,1,409
14-04-2022,2,Yes,411,0,411
16-04-2022,1,No,412,1,412
19-04-2022,3,YesYes,415,0,415
21-04-2022,9,YesNoYes,424,1,424
24-04-2022,1,0,425,0,425
25-04-2022,2,No,427,1,427
26-04-2022,3,YesYes,430,0,430
27-04-2022,3,Yes,433,0,433
28-04-2022,4,YesYes,437,0,437
29-04-2022,48,NoNoYesYesYesNoYesNoYesYes,485,4,485
01-05-2022,1,0,486,0,486
02-05-2022,2,Yes,488,0,488
03-05-2022,13,YesYesYesYesYes,501,0,501
04-05-2022,7,0,508,0,508
05-05-2022,52,YesYesNoNoYesYesNoNoYes,560,4,560
06-05-2022,15,Yes,575,0,575
08-05-2022,3,0,578,0,578
09-05-2022,14,YesYesNoNoNo,592,3,592
10-05-2022,5,YesYesYes,597,0,597
11-05-2022,6,NoYesYes,603,1,603
12-05-2022,3,0,606,0,606
13-05-2022,2,Yes,608,0,608
15-05-2022,1,0,609,0,609
16-05-2022,5,No,614,1,614
17-05-2022,5,NoNo,619,2,619
18-05-2022,6,0,625,0,625
19-05-2022,2,0,627,0,627
20-05-2022,1,0,628,0,628
21-05-2022,1,0,629,0,629
22-05-2022,1,0,630,0,630
23-05-2022,1,Yes,631,0,631
24-05-2022,2,YesNo,633,1,633
25-05-2022,2,Yes,635,0,635
26-05-2022,76,YesYesNoYesNoNoYesYesYesYes,711,3,711
27-05-2022,35,YesYes,746,0,746
30-05-2022,12,Yes,758,0,758
31-05-2022,32,YesYesYesYesYesNoYesYesYesYesYesYesYesYes,790,1,790
01-06-2022,1,0,791,0,791
02-06-2022,1,0,792,0,792
04-06-2022,1,0,793,0,793
05-06-2022,1,0,794,0,794
06-06-2022,14,Yes,808,0,808
07-06-2022,30,NoYesYesYesYesYes,838,1,838
08-06-2022,22,YesYesYesYesYesYesYesYesYesYes,860,0,860
09-06-2022,10,Yes,870,0,870
10-06-2022,35,YesYesYesYesNoNoNoYes,905,3,905
11-06-2022,3,0,908,0,908
13-06-2022,16,NoNo,924,2,924
14-06-2022,12,YesYesYesNo,936,1,936
15-06-2022,4,YesYesYes,940,0,940
16-06-2022,20,0,960,0,960
17-06-2022,6,0,966,0,966
18-06-2022,3,0,969,0,969
19-06-2022,2,0,971,0,971
20-06-2022,8,0,979,0,979
21-06-2022,4,0,983,0,983
22-06-2022,3,0,986,0,986
23-06-2022,1,0,987,0,987
25-06-2022,1,0,988,0,988
27-06-2022,1,0,989,0,989
28-06-2022,3,0,992,0,992
29-06-2022,1,0,993,0,993
06-07-2022,2,0,995,0,995
07-07-2022,1,0,996,0,996
08-07-2022,1,0,997,0,997
19-07-2022,1,0,998,0,998
